iter	Passed	Remaining
780	1573	441
781	1575	439
782	1577	437
783	1578	434
784	1580	432
785	1581	430
786	1583	428
787	1584	426
788	1586	424
789	1588	422
790	1589	420
791	1590	417
792	1593	416
793	1595	413
794	1596	411
795	1597	409
796	1599	407
797	1601	405
798	1602	403
799	1604	401
800	1605	398
801	1607	396
802	1608	394
803	1609	392
804	1610	390
805	1612	388
806	1614	386
807	1615	383
808	1616	381
809	1618	379
810	1619	377
811	1620	375
812	1621	373
813	1623	371
814	1625	368
815	1626	366
816	1627	364
817	1629	362
818	1630	360
819	1632	358
820	1633	356
821	1634	353
822	1637	352
823	1638	349
824	1639	347
825	1640	345
826	1642	343
827	1644	341
828	1645	339
829	1646	337
830	1649	335
831	1650	333
832	1652	331
833	1653	329
834	1655	327
835	1656	324
836	1657	322
837	1659	320
838	1661	318
839	1662	316
840	1663	314
841	1665	312
842	1666	310
843	1668	308
844	1669	306
845	1671	304
846	1672	302
847	1674	300
848	1675	297
849	1676	295
850	1678	293
851	1680	291
852	1681	289
853	1682	287
854	1684	285
855	1685	283
856	1686	281
857	1688	279
858	1689	277
859	1691	275
860	1692	273
861	1693	271
862	1695	269
863	1696	267
864	1698	265
865	1699	262
866	1700	260
867	1701	258
868	1703	256
869	1704	254
870	1706	252
871	1707	250
872	1709	248
873	1710	246
874	1711	244
875	1712	242
876	1713	240
877	1715	238
878	1716	236
879	1717	234
880	1718	232
881	1720	230
882	1722	228
883	1723	226
884	1724	224
885	1726	222
886	1727	220
887	1728	218
888	1730	216
889	1731	214
890	1733	212
891	1735	210
892	1737	208
893	1739	206
894	1741	204
895	1743	202
896	1745	200
897	1746	198
898	1748	196
899	1749	194
900	1751	192
901	1752	190
902	1753	188
903	1755	186
904	1756	184
905	1758	182
906	1759	180
907	1761	178
908	1762	176
909	1764	174
910	1765	172
911	1768	170
912	1770	168
913	1771	166
914	1772	164
915	1774	162
916	1775	160
917	1776	158
918	1777	156
919	1779	154
920	1780	152
921	1782	150
922	1783	148
923	1785	146
924	1786	144
925	1788	142
926	1789	140
927	1791	138
928	1792	137
929	1794	135
930	1795	133
931	1796	131
932	1797	129
933	1799	127
934	1800	125
935	1801	123
936	1803	121
937	1804	119
938	1805	117
939	1807	115
940	1808	113
941	1810	111
942	1811	109
943	1812	107
944	1813	105
945	1815	103
946	1816	101
947	1818	99
948	1819	97
949	1820	95
950	1821	93
951	1823	91
952	1825	90
953	1826	88
954	1827	86
955	1829	84
956	1830	82
957	1831	80
958	1832	78
959	1834	76
960	1835	74
961	1836	72
962	1838	70
963	1839	68
964	1841	66
965	1842	64
966	1843	62
967	1844	60
968	1845	59
969	1847	57
970	1848	55
971	1850	53
972	1851	51
973	1852	49
974	1854	47
975	1855	45
976	1856	43
977	1857	41
978	1858	39
979	1860	37
980	1861	36
981	1862	34
982	1863	32
983	1865	30
984	1867	28
985	1868	26
986	1869	24
987	1870	22
988	1873	20
989	1874	18
990	1875	17
991	1877	15
992	1878	13
993	1879	11
994	1880	9
995	1881	7
996	1883	5
997	1885	3
998	1886	1
999	1887	0
